"","aesa.in.name","aesa.out.name","unlist.aesa.fun.lst."
"1","site_id","usiteid","paste(x)"
"2","YEAR","site_obsdate","as.numeric(x)*1"
"3","phw","ph_h2o","as.numeric(x)*1"
"4","EC","ec_satp","as.numeric(x)*1"
"5","K","k_ext","as.numeric(x)*1"
"6","BD","db_od","as.numeric(x)*1"
"7","OC.","oc","as.numeric(x)/10"
"8","Nitrogen","n_tot","as.numeric(x)*1"
"9","CEC","cec_sum","as.numeric(x)*1"
"10","Clay","clay_tot_psa","as.numeric(x)*1"
"11","Sand","sand_tot_psa","as.numeric(x)*1"
"12","Silt","silt_tot_psa","as.numeric(x)*1"
