"","sco.in.name","sco.out.name","unlist.sco.fun.lst."
"1","profile_id","usiteid","paste(x)"
"2","site_obsdate","site_obsdate","as.numeric(x)*1"
"3","easting","longitude_decimal_degrees","as.numeric(x)*1"
"4","northing","latitude_decimal_degrees","as.numeric(x)*1"
"5","horz_top","hzn_bot","as.numeric(x)*1"
"6","horz_botto","hzn_top","as.numeric(x)*1"
"7","horz_symb","hzn_desgn","as.numeric(x)*1"
"8","sample_id","labsampnum","as.numeric(x)*1"
"9","texture_ps","tex_psda","as.numeric(x)*1"
"10","sand_int","sand_tot_psa","as.numeric(x)*1"
"11","silt_int","silt_tot_psa","as.numeric(x)*1"
"12","clay","clay_tot_psa","as.numeric(x)*1"
"13","carbon","oc","as.numeric(x)*10"
"14","nitrogen","n_tot","as.numeric(x)*10"
"15","ph_h2o","ph_h2o","as.numeric(x)*1"
"16","exch_ca","ca_ext","as.numeric(x)*200"
"17","exch_mg","mg_ext","as.numeric(x)*121"
"18","exch_na","na_ext","as.numeric(x)*230"
"19","exch_k","k_ext","as.numeric(x)*391"
"20","sum_cation","cec_sum","as.numeric(x)*1"
